date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
44424,13.5,9.2,17.7,,,,6.6,,1014.4,
44425,15.7,10.8,21.6,,,,5.7,,1013.3,
44426,14.9,10.8,21.7,,,,6.4,,1009.1,
44427,14.8,12.1,18.7,,,,11,,1005.4,
44428,15,10.9,20.4,,,,10.4,,1015.6,
44429,13.1,7.6,20.6,,,,8.3,,1014.7,
44430,16.3,11,21.7,,,,8.2,,1007.7,
44431,12,6.2,21.7,,,,4.9,,1014.4,
44432,11,5.7,17.4,,,,5.1,,1015.8,
44433,11.7,6.6,17.6,,,,5.4,,1015.3,
44434,14.4,7.5,21.3,,,,9.1,,1015.2,
44435,13.3,7,21.4,,,,4.9,,1020.3,
44436,14.9,11.2,19.9,,,,8.2,,1022.5,
44437,14.9,8.4,21.8,,,,5.9,,1023.8,
44438,18.2,14,24.4,,,,10.7,,1018.5,
44439,22.2,18.5,28.1,,,,11,,1015,
44440,19.3,15.6,28.5,,,,14.2,,1015,
44441,14.9,12.7,19.5,29,,,9.5,,1018.1,
44442,14.8,13,17.6,,,,10.7,,1019.7,
44443,14.2,11.9,17.8,0,,,9.6,,1016.2,
44444,14.2,11.8,17.7,,,,11,,1018.2,
44445,14.7,12.6,17.9,0,,,18.3,,1018.5,
44446,15.3,14,17.8,7.9,,,16.4,,1013.2,
44447,15.4,14.6,16.1,8.8,,,7.8,,1006,
44448,13.9,13,16.1,45,,,17.1,,1005.3,
44449,13.3,11.6,15.1,28.5,,,7.4,,1017.2,
44450,15.4,13,18.4,,,,12.4,,1016.4,
44451,18.8,14.6,26.4,,,,20.8,,1008.6,
44452,16.6,14,26.4,,,,13.4,,1009.8,
44453,14.5,9.8,19.8,,,,13.4,,1016.4,
44454,14.2,6.1,21.7,,,,5.1,,1021.6,
44455,17.9,11.4,24.5,,,,9.4,,1024.3,
44456,18.7,15.1,24.6,,,,13.5,,1019.5,
44457,18.1,12.5,23.4,,,,6.4,,1015.5,
44458,16.9,14,23.4,,,,11.8,,1013.3,
44459,16.6,13,19.2,,,,22.2,,1016.7,
44460,12.4,6.5,20,,,,12,,1027.9,
44461,13.2,10,16.8,,,,9.9,,1025,
44462,16.1,13.8,19.2,3,,,9,,1022.3,
44463,15.2,10.6,20,,,,12,,1023.8,
44464,16.4,12.6,20.2,,,,8.5,,1019.6,
44465,20,15.2,25.5,,,,7.7,,1016,
44466,15.8,12.8,25.4,,,,12.4,,1019.2,
44467,14,10.6,16.6,0.2,,,15.2,,1021.1,
44468,17.4,14.7,21,,,,9.5,,1018.6,
44469,16.9,15.2,21,14,,,12.8,,1010.2,
44470,17.5,11.5,24.2,9,,,6.1,,1014,
44471,15.6,11,24.4,3,,,9.1,,1011.3,
44472,13.5,7.5,19.1,0.2,,,15.4,,1015.3,
44473,15.1,6.5,21.7,,,,4.2,,1017.6,
44474,18.2,13.2,23.5,,,,11.5,,1015.8,
44475,15.7,11.6,23.5,,,,20.7,,1020,
44476,12.2,6.5,18.4,,,,6.4,,1022.8,
44477,14,10.4,17.5,,,,10.7,,1019.9,
44478,16,10.9,20.6,,,,10.3,,1020.2,
44479,17,13.8,20.6,,,,11.8,,1018.8,
44480,17.8,16.2,21.6,1.2,,,7.7,,1016.3,
44481,17.9,14.6,21.8,0.2,,,6.8,,1012.7,
44482,18.3,15.9,21.8,0.2,,,5.1,,1008.5,
44483,17.3,12,25.5,,,,7.6,,1006.8,
44484,15,10.3,25.5,,,,14.8,,1020.7,
44485,15.6,9.8,20.4,,,,10.8,,1023.6,
44486,18,12.6,22.6,,,,8.2,,1020.5,
44487,17.5,12.6,23.5,,,,7.8,,1021.6,
44488,17.4,12.6,23.7,,,,7.2,,1022,
44489,19.8,14.4,25.4,,,,10.3,,1018.9,
44490,22.1,17.2,27.6,,,,10.1,,1014.8,
44491,21.2,15.2,27.6,,,,15.4,,1011.7,
44492,17.6,14.5,26.2,17,,,8.2,,1008.6,
44493,18.7,9.4,26.4,2,,,7.6,,1012.3,
44494,23.6,17.8,31.5,,,,14.5,,1009.7,
44495,26.8,18.6,36.1,,,,5.5,,1012.5,
44496,27.8,21.1,36.3,,,,6.9,,1017.8,
44497,27.6,20.4,34.1,,,,8.5,,1020.3,
44498,26.2,21.4,34.4,,,,10.1,,1017.4,
44499,25.4,21.1,30.5,,,,13.6,,1014.5,
44500,20,14.5,31,,,,10.5,,1018.7,
44501,17.4,14.2,20.6,,,,15.2,,1018.1,
44502,19.4,16.1,23.9,6.3,,,6.9,,1014.8,
44503,21.9,19.5,25.5,4.1,,,8,,1009.8,
44504,23,20.1,27.2,,,,9.3,,1009.7,
44505,18.9,13,27.5,,,,16.4,,1018.8,
44506,16.5,12.5,22.2,,,,17.7,,1023.1,
44507,19.2,16.1,23,,,,8.4,,1018.3,
44508,22,15.4,28.7,,,,7,,1015.9,
44509,19.7,15.4,28.8,7,,,11.1,,1018.5,
44510,20,17.2,23.9,,,,13.3,,1020.2,
44511,21,17.7,25,,,,14,,1022.2,
44512,20.4,16.2,25.5,,,,23.6,,1020.6,
44513,22.4,16.8,28.7,,,,14.6,,1011.4,
44514,22.2,18.5,29,26,,,7.1,,1011,
44515,23.8,16.3,29.6,,,,10,,1010.2,
44516,19.7,14.7,29.6,,,,14.7,,1016,
44517,15.9,9,21.5,,,,8.6,,1018.4,
44518,19.7,10.8,26.3,,,,8.2,,1013.4,
44519,23.6,17.4,29.7,,,,6.1,,1013.8,
44520,23.7,17.6,29.8,,,,6.3,,1013.6,
44521,29.1,22.6,35,,,,10.8,,1009.1,
44522,28.6,20.8,36.5,,,,13,,1006.7,
44523,20.6,14,36.4,,,,11.9,,1017.3,
44524,25.8,19.2,33.2,,,,11.7,,1010.7,
44525,22.9,18.7,33.5,6.2,,,8.4,,1005.1,
44526,22.8,17,29.2,0.1,,,10.1,,1010,
44527,23.1,19.4,30,,,,11.2,,1010.2,
44528,20.8,17.7,27.8,57,,,7.4,,1006.1,
44529,21.1,17.5,25.4,30,,,13.1,,1004,
